No Decimal Found,
41.483394,69.366016
53.02176,-3.144949
45.782907,7.472111
56.687199,61.303623
56.507749,33.063354
46.028614,6.691097
46.908327,9.500735
56.752319,41.937537
54.939243,46.666512
56.432766,53.942369
64.635254,31.577878
61.63206,12.815999
57.8343,61.50506
56.050766,49.179627
56.729533,60.823117
45.842401,11.126074
56.109194,40.935869
55.966226,44.173697
56.653664,61.792534
57.174036,85.891661
58.785712,49.60059
45.796072,11.065798
55.127833,51.470053
53.246863,84.911388
59.583174,28.014093
58.636409,37.19652
51.036493,85.581958
55.355296,58.10516
53.820833,81.006718
56.853108,60.942646
62.810734,28.490921
59.81337,22.831959
63.232437,29.669865
53.506458,85.797702
54.176139,37.10242
